M,g,beta,x_star_analytic,x_plus_analytic,Ccrit_analytic,Ccrit_numeric,tail_mean
10.0,0.0,0.0,1.5,2.0,1632.4194278107962,1632.4194278020857,1634.292028968114
10.0,0.5,0.05,1.4991645821659163,1.9981229448431816,1626.9780252320788,1626.9780252294922,1628.8451709116528
10.0,1.0,0.1,1.4966332566682492,1.9924669052104411,1610.6535468697389,1610.65354685827,1612.5043101406636
10.0,1.5000000000000002,0.15000000000000002,1.492330339569967,1.9829556274862996,1583.44352915871,1583.4435291582774,1585.266904537199
10.0,2.0,0.2,1.4861279222936477,1.969456330201614,1545.3381888216732,1545.3381888149488,1547.1230948932312
10.0,2.5,0.25,1.4778424661925973,1.9517701990447673,1496.3112356944941,1496.3112356743484,1498.0464129759634
10.0,3.0000000000000004,0.30000000000000004,1.4672284312309127,1.9296168431008227,1436.3053858813182,1436.3053858510302,1437.9793411039652
10.0,3.5000000000000004,0.35000000000000003,1.4539670165479204,1.9026096113981295,1365.2101573410187,1365.210157330394,1366.8110221106615
10.0,4.0,0.4,1.4376468184770912,1.870216019081506,1282.8272440204548,1282.827244015483,1284.3426615927801
10.0,4.5,0.45,1.4177307532335957,1.8316921377066884,1188.8140105473526,1188.814010530331,1190.2308864174956
10.0,5.0,0.5,1.3934983698742844,1.7859677833126868,1082.5848826505635,1082.5848826395827,1083.888986581664
10.0,5.2,0.52,1.3823842555327932,1.7653267615089545,1036.4665553320235,1036.4665553306104,1037.7212083721956
10.0,5.4,0.54,1.3703406965011489,1.7431474625348928,988.1457689954641,988.1457689875558,989.3482804620337
10.0,5.6000000000000005,0.56,1.3572699267560742,1.719260433175971,937.5025141572587,937.5025141454038,938.6499956429967
10.0,5.800000000000001,0.5800000000000001,1.3430546276861273,1.6934547672344213,884.381226623995,884.3812266071902,885.4705529038989
10.0,6.000000000000001,0.6000000000000001,1.327551692103359,1.6654625203285196,828.5765766503807,828.576576649873,829.6043015633416
10.0,6.200000000000001,0.6200000000000001,1.3105831456497343,1.6349345915556541,769.8111935121473,769.8111935082347,770.7734851486624
10.0,6.400000000000001,0.6400000000000001,1.2919224597592245,1.6014015394265164,707.6989669139197,707.69896689678,708.5914146332246
10.0,6.600000000000001,0.6600000000000001,1.2712730215475485,1.5642058987035516,641.6806847427379,641.6806847425639,642.4980739482689
10.0,6.800000000000002,0.6800000000000002,1.248232434227361,1.5223755622948238,570.9015991111867,570.9015991070062,571.6375185084447
10.0,7.000000000000002,0.7000000000000002,1.2222292120843388,1.4743596987622078,493.95129485971694,493.9512948471356,494.5973553170779
10.0,7.05,0.705,1.2151735708016762,1.4611085018047218,473.48733029024015,473.48733029016756,474.109243671645
10.0,7.1,0.71,1.2078638655423186,1.44724838931982,452.4279693053295,452.42796928260003,453.02493584121646
10.0,7.1499999999999995,0.715,1.2002802670285326,1.4327041717334152,430.70047910937114,430.7004791008698,431.27156436555487
10.0,7.199999999999999,0.72,1.1924001036295746,1.4173831530911287,408.21432297777557,408.21432296755347,408.7584912847377
10.0,7.25,0.725,1.1841972508437233,1.40116880685355,384.8545498778082,384.8545498600509,385.37059798645424
10.0,7.3,0.73,1.175641340637793,1.383911165528742,360.4716877775385,360.47168777158555,360.9581967852066
10.0,7.35,0.735,1.1666967209927643,1.3654115578474508,334.8655924074835,334.8655923889217,335.32088052509863
10.0,7.4,0.74,1.1573210617063796,1.3453970024745623,307.7581784026388,307.7581784017061,308.18014995760404
10.0,7.45,0.745,1.1474634471634302,1.3234741253554414,278.74402813379874,278.7440281265715,279.1300421244166
10.0,7.5,0.75,1.1370617042488453,1.299038105675791,247.19216338745161,247.19216338175627,247.53866068756565
10.0,7.55,0.755,1.1260385529348231,1.2710674664673354,212.02320758836441,212.02320758755465,212.32508661478246
